GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore
2012R1004,2012,R10,2012-06-02,20.6,7.4,0.0,Subiaco,2:40 PM,31392.0,Fremantle,3.3,6.6,10.9,12.1,82.0,Adelaide,5.2,10.5,12.6,17.9,111
2012R1005,2012,R10,2012-06-02,19.1,9.8,0.0,Football Park,7:10 PM,24746.0,Port Adelaide,5.2,9.4,10.9,14.15,99.0,Carlton,3.1,4.2,5.6,6.9,45
2012R1006,2012,R10,2012-06-02,15.4,2.1,0.0,M.C.G.,7:40 PM,42987.0,Essendon,1.5,2.9,5.13,6.16,52.0,Melbourne,1.2,4.3,5.5,8.1,58
2012R1007,2012,R10,2012-06-03,22.9,16.4,3.4999999999999996,Gabba,1:10 PM,15546.0,Brisbane Lions,3.3,7.4,8.5,16.6,102.0,West Coast,2.1,5.5,10.7,15.1,100
2012R1008,2012,R10,2012-06-03,15.7,14.0,3.4999999999999996,S.C.G.,3:15 PM,13505.0,Sydney,7.700000000000001,10.5,16.9,20.12,132.0,Western Bulldogs,1.1,3.1,4.5,5.1,40
2012R1009,2012,R10,2012-06-03,13.3,5.6,0.8,M.C.G.,4:40 PM,36913.0,Collingwood,5.4,12.6,18.9,23.11,149.0,Gold Coast,3.1,5.3,5.7,7.1,52
2012R1101,2012,R11,2012-06-08,13.1,8.1,0.0,Docklands,7:50 PM,47632.0,Carlton,4.4,6.6,9.1,11.19,85.0,Geelong,2.2,5.7,10.1,14.13,97
2012R1102,2012,R11,2012-06-09,11.9,9.0,3.4999999999999996,M.C.G.,1:40 PM,43801.0,Richmond,5.2,6.3,8.8,9.12,66.0,Fremantle,4.1,7.3,9.6,12.6,78
2012R1103,2012,R11,2012-06-09,20.7,14.7,0.4,Carrara,4:40 PM,12534.0,Gold Coast,1.3,3.4,6.6,7.7,49.0,St Kilda,4.3,10.6,15.12,21.18,144
2012R1104,2012,R11,2012-06-09,11.9,9.0,3.4999999999999996,Docklands,7:40 PM,42785.0,Essendon,1.5,1.11,2.15,11.16,82.0,Sydney,5.3,8.6,11.8,13.8,86
2012R1105,2012,R11,2012-06-10,14.6,2.2,0.0,Football Park,4:10 PM,26638.0,Port Adelaide,3.3,4.7,5.7,9.8,62.0,Hawthorn,7.4,9.8,12.11,16.12,108
2012R1106,2012,R11,2012-06-11,12.7,1.3,0.0,M.C.G.,3:15 PM,64250.0,Melbourne,0.4,3.4,7.7,13.9,87.0,Collingwood,6.3,8.9,10.15,19.15,129
2012R1201,2012,R12,2012-06-14,18.2,9.5,0.4,Subiaco,5:40 PM,34224.0,West Coast,3.3,5.12,6.17,10.19,79.0,Carlton,2.3,4.4,8.8,10.9,69
2012R1202,2012,R12,2012-06-15,15.4,9.0,0.0,Football Park,8:10 PM,36394.0,Adelaide,5.3,11.6,16.7,17.13,115.0,St Kilda,3.1,8.8,10.12,16.15,111
